"Issue Id","Project","Tags","Summary","Reporter","Created","Updated","Resolved","Priority","Component","State","Assignee","Scope","Spent time","Due Date","Type","Translation units","Release cycle","Description","Votes"
"id-16039","PVS-Studio","Star","Сделать индекс поиска на ру стабильным","Daniil Pokusaev","14 Nov 2025 10:53","19 Nov 2025 10:38",,"Critical","Web","In progress","sychev","960","29","27 Nov 2025 15:00","Task",,"No version","Ранее в id-15965 вносили правку поиска вида ""индекс поиска передается в контейнер через volume, следовательно не слетает при down-\>up"". 

Для .com походу всё работает, но для .ru раз в день индекс слетает. Нужно исследовать причины происходящего и сделать так, чтобы индекс не слетал.

# TODO

* [ ] Исследовать причины слетания индекса поиска, выписать в комментарии.
* [ ] Сделать так, чтобы индекс поиска не слетал.




* [ ] Пройти ревью у @makaev.
* [ ] Залить на прод после успешного ревью.","0"
"id-16040","PVS-Studio","Star","Доработки плашки переключения на ру язык","Daniil Pokusaev","14 Nov 2025 11:13","19 Nov 2025 10:32",,"Normal","Web","Buffer","pokusaev","1440",,"27 Nov 2025 15:00","Task",,"No version","По мотивам id-15936.

Задача была выполнена, но в ходе выполнения были замечены проблемы кодовой базы, которые надо устранить + написать тесты на новый функционал.

Еще в ходе реализации плашки-оффера ру языка была сделана логика вида ""Пока не закрыли плашку cookie - не показываем плашку-оффер"", чтобы не устраивать баннерную атаку. Но было замечено, что плашка РБПО сейчас перекрывает плашку cookie. Предлагаю для нее сделать аналогичную логику, чтобы показывалась только после закрытия плашки cookie.

*___*

# TODO

* [ ] Отрефакторить фронт часть, где нет единого способа работы с cookie. Возможно, вынести логику в imposition-vite/.
* [ ] Написать UI тесты с подстановкой Accept-Language для симуляции предпочитаемого языка. IP вряд ли заmockать сможем, но хоть какие-то тесты нужны.
* [ ] Добавить атрибуты для ру ссылки, чтобы не учитывались поисковиками.




* [ ] Добавить логику ""Закрыли плашку cookie - появилась плашка РБПО спустя 3 секунды"". Если cookie уже закрыта - показать сразу.




* [ ] Пройти ревью тестов у @makaev.
* [ ] Пройти ревью фронт части у @pokusaev.
* [ ] Залить на прод после успешного ревью.","0"
"id-15933","PVS-Studio","Star","Добавить контенту галку “Показывать на сайте”","Daniil Pokusaev","5 Nov 2025 10:37","19 Nov 2025 09:40",,"Major","Web","On hold","makaev","960","843","27 Nov 2025 15:00","Task",,"No version","Предлагаю обезопасить себя и добавить галку в админке вкл/выкл контента на сайте. Поможет в следующих сценариях:

* Статью/документацию рано залили, надо пока что скрыть (тру стори).
* Нужно проверить на проде квиз (добавит удобства).

В идеале сделать так, чтобы не просто 404 возвращалась, а был доступ у админов с отображением, что страничка скрыта для юзеров.

Под контентом понимаются:

* Всё что в Блоге.
* Документация.
* Отдельные страницы из .docx.

---

# TODO

* [x] Добавить контенту в админке галку ""Показывать на сайте"". Дефолтное значение: True.




Реализовать сценарии:

* [x] Статья с ""Показывать на сайте: False"" отдает 404.
* [x] Если юзер залогинен как админ - показывается плашка ""Контент скрыт для пользователей"", сама статья видна.
* [x] Скрытые статьи не показываются ни в каких выборках контента (разводящие, слайдеры ""Похожие"", недавние статьи и тп).




Для удобства работы с админкой нужно сделать следующее:

* [x] Для .ru сайта обязательный язык - ru, для .com - en.




Чтобы не было ситуаций, что скрыли статью и забыли, предлагаю сделать следующее:

* [x] Добавить тест/уведомление, что есть скрытые статьи. Падением считаться не должно, желательно встроить именно в тесты.




* [ ] Пройти ревью у @makaev.
* [ ] Залить на прод в релиз 27.11.","0"
"id-16032","PVS-Studio","Star,Due Date","Добавить utm метки для формы обычных Вебинаров","Daniil Pokusaev","13 Nov 2025 17:03","19 Nov 2025 09:35",,"Critical","Web","In progress","makaev","720","299","19 Nov 2025 15:00","Task",,"No version","В рамках задачи id-15311 добавили колонки utm-меток для РБПО подписчиков.

Теперь же нужно добавить такой же функционал для подписчиков обычных Вебинаров.

Приоритет повышенный, тк готовится Вебинар по [оптимизации игр](https://pvs-studio.ru/ru/webinar/25/), а прошлый такой собрал 160+ человек. Было бы неплохо собрать статистику, откуда к нам пришли.

Также нужно добавить utm метки в ссылки в следующих местах:

* Синяя плашка над шапкой про обычные Вебинары.
* Плашка справа внизу РБПО Вебинаров.
* Ссылка в шапке в разделе Блог на РБПО Вебинары.

---

# TODO

* [ ] Добавить сохранение utm-меток для подписчиков обычных Вебинаров.
* [ ] Добавить utm-метки на статичные ссылки на вебинары на сайте.




* [ ] Залить на прод как только так сразу.","0"
"id-16066","PVS-Studio","Star","Убрать в сайте отбойники на Helpdesk","Sviatoslav Razmyslov","17 Nov 2025 17:40","18 Nov 2025 16:05",,"Critical","Web","Buffer","pokusaev","480",,"21 Nov 2025 15:00","Task",,"No version","В Helpdesk продолжают сыпаться отбойники про отписки от чего-то:

> Apple Mail sent this email to unsubscribe from the message “unsubscribe-270e7919”.

Контакт vmerriam1@gmail.com.

У Helpdesk есть правило — нулевая терпимость к мусору на главной в открытых тикетах. Поэтому мы пишем много автоматических обработчиков и иногда даже очень персональных (недавно я боролся с японским спамом, а до этого с зашифрованным спамом). Не надо пополнять эту коллекцию собственными сервисами.

> Привет! Посмотрели, не выявили причину, по логам всё норм
> В след спринт посмотрим на систему подписок, где может отваливаться, накинем больше логов

Надо посмотреть содержимое хидера **List-Unsubscribe** и принять одно из следующих решений:

* Вычистить ящики Helpdesk и самим обрабатывать свои отписки. Можно обратиться к @kozlenkov в случае, если там зашиты какие-нибудь редиректы между, на первый взгляд, несвязанными ящиками.
* Предоставить алгоритм работы с этими отписками в автоматическом режиме, который будет реализован в Helpdesk.





","0"
"id-16037","PVS-Studio","Star","Исследовать разную выдачу поиска на ру и ен","Daniil Pokusaev","14 Nov 2025 10:30","18 Nov 2025 09:43",,"Critical","Web","Buffer","makaev","1440",,"27 Nov 2025 15:00","Task",,"No version","Почему-то на один и тот же запрос выдается очень разное кол-во статей. Пример:

* <https://pvs-studio.ru/ru/search/?search=sast>
* <https://pvs-studio.com/en/search/?search=sast>

Можно заметить, что для en версии выдаются ру видео. Мб в этом проблема.

Еще для en выдачи есть пустые итемы, тоже стоит пофиксить.

Приоритет повышенный.

---

# TODO

* [ ] Выявить причину разной выдачи, выписать в комментарии.
* [ ] Сделать выдачу одинаковой (за исключением контента только для ру).
* [ ] Убрать пустые итемы (в примере для en поиска такие есть).
* [ ] Убрать ру контент для .com.




Также в рамках этой задачи предлагаю сделать следующую доработку:

* [ ] Убрать из выдачи поиска страницу <https://pvs-studio.com/en/docs/warnings/diagnostic-rule-mock/> (пример, где она выдается первой - <https://pvs-studio.com/en/docs/search/?search=diagnostic+rules+group>)




* [ ] Пройти ревью у @makaev.
* [ ] Залить на прод после успешного ревью.","0"
"id-16043","PVS-Studio","Star","Добавить поиск видео","Daniil Pokusaev","14 Nov 2025 11:29","17 Nov 2025 11:58",,"Major","Web","Buffer","makaev","480",,"27 Nov 2025 15:00","Task",,"No version","Было замечено, что поиск по Блогу не находит видео, хотя раздел Видео относится к Блогу.

Предлагаю доработать поиск Блога так, чтобы в нем находились и видосы.

З.Ы. В общем поиске видево находятся.

З.З.Ы. Возможны конфликты с id-16037, но думаю нам будет полезно поразрешать такое. Если сомнения - можем выполнить задачу после id-16037.

___

# TODO

* [ ] Добавить в выдачу поиска Блога видео.




* [ ] Пройти ревью у @sychev.
* [ ] Залить на прод после успешного ревью.","0"
"id-16035","PVS-Studio","Star","Пофиксить сброс пароля","Daniil Pokusaev","14 Nov 2025 10:23","17 Nov 2025 11:58",,"Critical","Web","Buffer","makaev","960",,"27 Nov 2025 15:00","Task",,"No version","При сбросе пароля в ЛК кажется даются не те ссылки для ввода нового, не тот домен. Проблема возникла у Насти Воробьевой 13.11.2025.

Нужно посмотреть систему сброса, исправить ссылки на сброс, и написать тесты на сброс пароля.

Также была ситуация бесконечного редиректа между .ru и .com когда попытались руками сделать ссылку сброса пароля на верный домен.

Также нужно нормально зарегать Настю в .com админке сайта, выдать доступ к видео.

Приоритет повышенный.

---

# TODO

* [ ] Поправить письма сброса пароля, указав в них верные домены.
* [ ] Написать тесты на сброс пароля.
* [ ] Исследовать ситуацию бесконечного редиректа при попытке сбросить пароль.




* [ ] Зарегистрировать @vorobeva в .com админке, выдать доступы к разделу ""Видео"".




* [ ] Пройти ревью у @sychev.
* [ ] Залить на прод после успешного ревью.","0"
"id-16038","PVS-Studio","Star","Доработки CI/CD","Daniil Pokusaev","14 Nov 2025 10:36","17 Nov 2025 10:01",,"Normal","Web","Buffer","sychev","960",,"27 Nov 2025 15:00","Task",,"No version","CI/CD очень нравится, но есть моменты которые стоит улучшить.

---

# TODO

* [ ] Допилить отправку сообщений о упавшем селениуме, а то не приходят.
* [ ] При применении правок на сервере чистить кэш, дабы избежать возможных проблем несостыковки кэша и функционала.




Пункты со звездочкой:

* [ ] Исследовать способы достижения единого code style на проекте.
* [ ] ~~Исследовать способы автоматического прогона линтерами/анализаторами.~~","0"
"id-16036","PVS-Studio","Star","Исправить страницу статистики","Daniil Pokusaev","14 Nov 2025 10:26","14 Nov 2025 14:09",,"Major","Web","Buffer","sychev","480",,"27 Nov 2025 15:00","Task",,"No version","Поломалась страница <https://pvs-studio.ru/statistic/website/>, и судя по ошибке просрочился ключ API.

Нужно воскресить данные на странице.

___

# TODO

* [ ] Воскресить данные на странице <https://pvs-studio.ru/statistic/website/>.
* [ ] Написать тесты на страницу (данные подтягиваются, мб еще что).




* [ ] Пройти ревью у @makaev.
* [ ] Залить на прод после успешного ревью.","0"
